ACK_ID,PROVIDER_EXCLUDE_IND
"20190102123206P040006001397001","2"
"20190103085651P030004594185001","2"
"20190103145246P040133522711001","2"
"20190104085038P030145301441001","2"
"20190104101715P030007694261001","2"
"20190104122604P040052302399001","1"
"20190107152222P030151872913001","1"
"20190110094934P030123768413001","1"
"20190110145232P040147402519001","1"
"20190110153919P030124143677001","2"
"20190110180514P040006764933001",
"20190111094121P040158932673001","2"
"20190111094137P030157566567001","1"
"20190111141332P040004580633001","1"
"20190111175911P030158112711001","1"
"20190114110228P040132427021001","1"
"20190114111444P030163909729001","2"
"20190114125837P040007173189001","1"
"20190114135614P030008611413001","1"
"20190114144507P030005363737001","1"
"20190114145953P030005365113001","1"
"20190114151820P030164328625001","2"
"20190114151929P040165992545001",
"20190114152214P030164335585001","2"
"20190114192012P030164801809001","1"
"20190115094302P040155784983001","2"
"20190115094823P030008683349001","1"
"20190115105453P040155971591001","1"
"20190115111847P040167816545001","2"
"20190115133430P030166757639001","1"
"20190115142203P030165999825001","1"
"20190115150032P040007317973001","1"
"20190115150508P040168034193001","2"
"20190115151033P030166831047001","2"
"20190115153813P030131564701001","2"
"20190115161208P030131595389001","1"
"20190115162252P030131604445001","2"
"20190116094713P040158493143001","1"
"20190116100500P030008776837001","1"
"20190116104719P040134493325001","2"
"20190116113736P030133050557001","2"
"20190116161313P030168591927001","2"
"20190117100249P040001168695001","1"
"20190117142430P040000056809001","2"
"20190118083915P030002627809001","2"
"20190118085555P040003162375001","1"
"20190118094837P030000116085001","1"
"20190118113722P040000097801001","2"
"20190118130803P040000126453001","1"
"20190118144041P030003313879001","1"
"20190118152520P040000137349001","1"
"20190121092509P030008089031001","2"
"20190121101447P040009323255001","2"
"20190121113517P040005042605001","1"
"20190122080956P040006265773001","2"
"20190122140529P030011423089001","2"
"20190122201905P040012780545001","2"
"20190123114031P040003122239001","1"
"20190123115554P030009998957001","1"
"20190123172235P040014337015001","1"
"20190124085629P030013733623001","2"
"20190124085735P030013734839001","2"
"20190124122555P030014041863001","1"
"20190124125742P030014113911001","2"
"20190125060525P030004114255001","2"
"20190125061254P030004117343001","2"
"20190125075954P040011013837001","2"
"20190125094553P040017561143001","2"
"20190125131737P040000725305001","2"
"20190125141645P040011316829001","1"
"20190126142328P030000932133001","2"
"20190128125334P040023260487001","2"
"20190129093457P030023932647001","1"
"20190129111451P030028179665001",
"20190129135133P040018459885001","1"
"20190129164549P040018484781001","2"
"20190130081721P040019092365001","1"
"20190130110105P030000027080001","2"
"20190130150121P030026750903001","1"
"20190130153522P030026811271001","1"
"20190131080927P030001436025001","1"
"20190131082958P030019904093001","2"
"20190131085837P040020303389001","2"
"20190131141141P030001515301001","1"
"20190131141934P030001515749001","1"
"20190131142408P040001229509001","1"
"20190131184941P030032971233001","1"
"20190201115209P030021845389001","1"
"20190201134638P030034311089001","2"
"20190201155124P040033507953002","2"
"20190201155426P040033517201001","1"
"20190201155529P030030721703001","1"
"20190201155629P030030723271001","1"
"20190201155730P030030724791001","1"
"20190201155830P030030726359001","1"
"20190201155933P030030727943001","1"
"20190201165407P030022302269001","1"
"20190202132704P030035592257001","1"
"20190204065743P040025096925001","1"
"20190204102139P040001364377001","1"
"20190204124341P040040934929001","1"
"20190204124754P040001367593001","1"
"20190204124918P030035865479001",
"20190204125229P030035875111001","1"
"20190205102320P030040212449001","1"
"20190205102949P030026535837001","2"
"20190205125927P030026666445001","2"
"20190205132142P030040408161001","1"
"20190206091917P040044894001001","2"
"20190206154134P030039663863001",
"20190206164455P030001934309001","2"
"20190207090046P040028639629001","2"
"20190207110252P030044361233001","1"
"20190207121711P030044518145001","1"
"20190208111755P030002035509001","2"
"20190208145122P040016869743002","2"
"20190208145122P040016869743003","2"
"20190208145122P040016869743004","2"
"20190208152139P040016871967002","2"
"20190208152139P040016871967003","2"
"20190211090805P040001792633001","1"
"20190211092224P040034529885001","1"
"20190211112127P030049843047001","2"
"20190211115111P030033526749001","1"
"20190211115344P030052836913001","1"
"20190211123257P030052885569001",
"20190211124002P040055771201001","1"
"20190211144528P040002127317001","1"
"20190211150640P030022251007001","2"
