DATE,IPUTIL
1939-01-01,3.3789
1939-02-01,3.4047
1939-03-01,3.4821
1939-04-01,3.5079
1939-05-01,3.5337
1939-06-01,3.5594
1939-07-01,3.5594
1939-08-01,3.5852
1939-09-01,3.6884
1939-10-01,3.6884
1939-11-01,3.7400
1939-12-01,3.7400
1940-01-01,3.7658
1940-02-01,3.8174
1940-03-01,3.8432
1940-04-01,3.8432
1940-05-01,3.8948
1940-06-01,3.9206
1940-07-01,3.9206
1940-08-01,3.9721
1940-09-01,3.9979
1940-10-01,4.0495
1940-11-01,4.1527
1940-12-01,4.1527
1941-01-01,4.2043
1941-02-01,4.2301
1941-03-01,4.3074
1941-04-01,4.3332
1941-05-01,4.3848
1941-06-01,4.4364
1941-07-01,4.4880
1941-08-01,4.5138
1941-09-01,4.5654
1941-10-01,4.5912
1941-11-01,4.6170
1941-12-01,4.7201
1942-01-01,4.8233
1942-02-01,4.8491
1942-03-01,4.8749
1942-04-01,4.9007
1942-05-01,4.8749
1942-06-01,4.9007
1942-07-01,5.0297
1942-08-01,5.0812
1942-09-01,5.1070
1942-10-01,5.1328
1942-11-01,5.1844
1942-12-01,5.2618
1943-01-01,5.2360
1943-02-01,5.2876
1943-03-01,5.3392
1943-04-01,5.3908
1943-05-01,5.4165
1943-06-01,5.5197
1943-07-01,5.5197
1943-08-01,5.5713
1943-09-01,5.7003
1943-10-01,5.7261
1943-11-01,5.7777
1943-12-01,5.7777
1944-01-01,5.7519
1944-02-01,5.8034
1944-03-01,5.9066
1944-04-01,5.9582
1944-05-01,5.9324
1944-06-01,5.9066
1944-07-01,5.8292
1944-08-01,5.8808
1944-09-01,5.8808
1944-10-01,5.8808
1944-11-01,5.8808
1944-12-01,5.9066
1945-01-01,6.0098
1945-02-01,6.0356
1945-03-01,5.9840
1945-04-01,5.9840
1945-05-01,6.0356
1945-06-01,6.0872
1945-07-01,6.0356
1945-08-01,5.9582
1945-09-01,5.8808
1945-10-01,5.8808
1945-11-01,5.8808
1945-12-01,5.9582
1946-01-01,5.9324
1946-02-01,5.9582
1946-03-01,5.9582
1946-04-01,6.0614
1946-05-01,6.0614
1946-06-01,6.0872
1946-07-01,6.2161
1946-08-01,6.3451
1946-09-01,6.4483
1946-10-01,6.5257
1946-11-01,6.5514
1946-12-01,6.5772
1947-01-01,6.3451
1947-02-01,6.3967
1947-03-01,6.4483
1947-04-01,6.5772
1947-05-01,6.6804
1947-06-01,6.7062
1947-07-01,6.7578
1947-08-01,6.8352
1947-09-01,6.9125
1947-10-01,6.9641
1947-11-01,7.0157
1947-12-01,7.0673
1948-01-01,7.1963
1948-02-01,7.2221
